label,f000,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,f045,f046,f047,f048,f049,f050,f051,f052,f053,f054,f055,f056,f057,f058,f059,f060,f061,f062,ts
YES,0.0,0.0,-3.9355551706421465e-08,0.24931055307388306,-0.13296771049499512,-0.01188124530017376,0.44648587703704834,-0.3797840476036072,-0.01805267482995987,0.3822167217731476,-0.6764301657676697,-0.02411310374736786,0.1900440901517868,-0.7987815141677856,-0.027600722387433052,0.36830779910087585,-0.7401299476623535,-0.0020653721876442432,0.3707703649997711,-0.9287165999412537,-0.016670256853103638,0.32004621624946594,-0.6934360265731812,-0.02477853186428547,0.3090459704399109,-0.5982120633125305,-0.0287648756057024,0.198819100856781,-0.7639701962471008,-0.003926548175513744,0.19423766434192657,-0.9091874361038208,-0.018043600022792816,0.17917701601982117,-0.6112149357795715,-0.021931421011686325,0.1975935399532318,-0.577933132648468,-0.022074785083532333,0.039654690772295,-0.736395001411438,-0.008576680906116962,0.03184308111667633,-0.8568199872970581,-0.02388664148747921,0.04344194009900093,-0.5732585191726685,-0.02069457247853279,0.07164961844682693,-0.5376908183097839,-0.015307891182601452,-0.1228502094745636,-0.6870710849761963,-0.014257706701755524,-0.10013045370578766,-0.7717978358268738,-0.021022876724600792,-0.07417327910661697,-0.5826824307441711,-0.015024242922663689,-0.05813142657279968,-0.5373132824897766,-0.009087146259844303,1772622280.370019
YES,0.0,0.0,-6.170151056750228e-09,0.26312482357025146,-0.046671267598867416,-0.011560732498764992,0.4901508688926697,-0.21995073556900024,-0.018258439376950264,0.48263463377952576,-0.4011130630970001,-0.025112910196185112,0.3069615662097931,-0.46808791160583496,-0.030750267207622528,0.40675854682922363,-0.6368532180786133,-0.013667202554643154,0.42574626207351685,-0.9048338532447815,-0.031737614423036575,0.3647911250591278,-0.7778894305229187,-0.041430070996284485,0.31793490052223206,-0.5949558615684509,-0.04556668922305107,0.20437519252300262,-0.6915944814682007,-0.016849735751748085,0.20288434624671936,-0.9547698497772217,-0.03668248653411865,0.17545270919799805,-0.7589644193649292,-0.04215145483613014,0.17441938817501068,-0.5606340765953064,-0.04187409579753876,0.024251185357570648,-0.6774513721466064,-0.022324105724692345,-0.0114864157512784,-0.774543046951294,-0.0412798747420311,0.008556699380278587,-0.5210806727409363,-0.041913945227861404,0.06067093834280968,-0.33448153734207153,-0.03799613192677498,-0.13116861879825592,-0.6082113981246948,-0.028953317552804947,-0.1563025861978531,-0.6228137016296387,-0.040284041315317154,-0.1300448328256607,-0.43277981877326965,-0.03984379395842552,-0.07709553837776184,-0.2991957664489746,-0.0372915156185627,1772622280.664666
YES,0.0,0.0,3.089602174100037e-08,0.49772319197654724,0.32928723096847534,-0.01601250469684601,0.7887146472930908,0.529611349105835,-0.030254969373345375,0.6648145318031311,0.7469879984855652,-0.04232780635356903,0.3309408128261566,0.8137392997741699,-0.05338218808174133,0.7784544825553894,-0.35665008425712585,-0.03737451881170273,0.7731372714042664,0.36292484402656555,-0.055697403848171234,0.55128413438797,0.6180084943771362,-0.06659005582332611,0.40701159834861755,0.5426875948905945,-0.07396934926509857,0.41497281193733215,-0.5986383557319641,-0.0383370965719223,0.3221142590045929,0.18193984031677246,-0.054282981902360916,0.21524199843406677,0.46645843982696533,-0.05824520066380501,0.22976413369178772,0.41146618127822876,-0.061958637088537216,0.07020632922649384,-0.5611887574195862,-0.03966003283858299,0.04508080706000328,0.33530184626579285,-0.05252036824822426,0.01900092139840126,0.6322513222694397,-0.0489642396569252,0.0740036815404892,0.5566921830177307,-0.046621888875961304,-0.20264682173728943,-0.3883616626262665,-0.042656704783439636,-0.16910505294799805,0.3790535628795624,-0.05125289037823677,-0.1727677583694458,0.6241308450698853,-0.04770255833864212,-0.13664086163043976,0.5809943079948425,-0.04504132643342018,1772622280.977626
YES,0.0,0.0,1.2159618734131072e-07,0.35514867305755615,0.06676816195249557,-0.019146205857396126,0.5500497817993164,0.4033118188381195,-0.03502156212925911,0.42261770367622375,0.7676330208778381,-0.044655922800302505,0.12992721796035767,0.9915106892585754,-0.053069502115249634,0.43755489587783813,-0.5275635123252869,-0.06481646746397018,0.2567765712738037,0.2895459234714508,-0.08269787579774857,0.18468546867370605,0.6807948350906372,-0.08675678074359894,0.12302608042955399,0.8756517767906189,-0.08818745613098145,0.030792152509093285,-0.5718904137611389,-0.060929980129003525,-0.05445145443081856,0.5754896402359009,-0.08435586094856262,0.04321786016225815,0.5057327747344971,-0.08053291589021683,0.09537236392498016,0.1848055124282837,-0.07425243407487869,-0.30997076630592346,-0.4447704553604126,-0.05530694127082825,-0.34409990906715393,0.6145960688591003,-0.07196075469255447,-0.22520087659358978,0.49472254514694214,-0.058645788580179214,-0.18431806564331055,0.18140830099582672,-0.04590931162238121,-0.5541463494300842,-0.242545947432518,-0.05075451359152794,-0.5467348694801331,0.5002920627593994,-0.05914785712957382,-0.4403918981552124,0.44358062744140625,-0.05126335844397545,-0.4297749400138855,0.1938881278038025,-0.044765010476112366,1772622281.2427151
YES,0.0,0.0,-7.897725140537659e-08,0.2837330102920532,-0.03614961728453636,-0.014943249523639679,0.5473144054412842,-0.20603632926940918,-0.023875011131167412,0.5759923458099365,-0.3541239798069,-0.032338760793209076,0.39333006739616394,-0.40417158603668213,-0.03841959685087204,0.4408387243747711,-0.7260387539863586,-0.015620838850736618,0.42490801215171814,-0.9052270650863647,-0.03800702095031738,0.34879201650619507,-0.58840012550354,-0.05023286119103432,0.3167390525341034,-0.378683865070343,-0.05540179833769798,0.21108737587928772,-0.7564290761947632,-0.017919138073921204,0.17275294661521912,-0.9391838908195496,-0.042014092206954956,0.1561930924654007,-0.5674763321876526,-0.04750536009669304,0.16351863741874695,-0.35009199380874634,-0.04647909849882126,0.008310339413583279,-0.7177016139030457,-0.023220529779791832,-0.04674243927001953,-0.8129493594169617,-0.045479293912649155,-0.011091277934610844,-0.44957125186920166,-0.04359199479222298,0.039265867322683334,-0.24953493475914001,-0.0371357798576355,-0.16169285774230957,-0.6199713349342346,-0.030041949823498726,-0.20488399267196655,-0.608934223651886,-0.0426260381937027,-0.1558995395898819,-0.3532316982746124,-0.0408584363758564,-0.09220961481332779,-0.20420178771018982,-0.03678790479898453,1772622281.5306478
YES,0.0,0.0,-5.6509417589722943e-08,0.26053375005722046,-0.14879490435123444,-0.009991999715566635,0.461972713470459,-0.3959759473800659,-0.014427374117076397,0.4417635500431061,-0.7068846821784973,-0.01948951557278633,0.2715129554271698,-0.8433796763420105,-0.02189014106988907,0.3765847086906433,-0.7034087777137756,0.004107271786779165,0.4010685384273529,-0.9160404205322266,-0.009866023436188698,0.3570112884044647,-0.7013958096504211,-0.01793975569307804,0.33234691619873047,-0.6002871990203857,-0.021500231698155403,0.2313075065612793,-0.7188629508018494,0.0017702642362564802,0.2388334721326828,-0.899399995803833,-0.01249322947114706,0.2224368005990982,-0.6115067005157471,-0.01718558929860592,0.22591064870357513,-0.5486688017845154,-0.017259707674384117,0.08730627596378326,-0.696683406829834,-0.003512738272547722,0.0890757218003273,-0.8641017079353333,-0.018931403756141663,0.0992501899600029,-0.5836859345436096,-0.01654491201043129,0.11105308681726456,-0.5090381503105164,-0.010944129899144173,-0.06923054158687592,-0.6589175462722778,-0.009708629921078682,-0.03908077999949455,-0.7965617179870605,-0.017012983560562134,-0.012421534396708012,-0.6135517954826355,-0.011949701234698296,-0.003451398340985179,-0.5356170535087585,-0.006128225009888411,1772622281.801987
YES,0.0,0.0,-4.2090299245955975e-08,0.2667405903339386,-0.13401727378368378,-0.012199854478240013,0.4770338237285614,-0.3967092037200928,-0.018251443281769753,0.45142480731010437,-0.7401310801506042,-0.02436336688697338,0.274956613779068,-0.8898438811302185,-0.027471257373690605,0.40685760974884033,-0.6953002214431763,0.0007097541820257902,0.4261314272880554,-0.9046533107757568,-0.01358155719935894,0.37700775265693665,-0.669825553894043,-0.02066885307431221,0.3545977473258972,-0.5722510814666748,-0.0234500914812088,0.253271222114563,-0.7290165424346924,-0.0006909084622748196,0.27041512727737427,-0.9074686765670776,-0.014898799359798431,0.2367716133594513,-0.5952457785606384,-0.01753438264131546,0.24165235459804535,-0.5558229684829712,-0.016055939719080925,0.10006701201200485,-0.7246084809303284,-0.0051793004386126995,0.11718295514583588,-0.905998170375824,-0.021811682730913162,0.10845113545656204,-0.5927428007125854,-0.017308950424194336,0.1128230020403862,-0.5263336300849915,-0.009970292448997498,-0.07012424618005753,-0.7052267789840698,-0.01065870188176632,-0.027404697611927986,-0.8403748869895935,-0.018925337120890617,-0.010531602427363396,-0.6319520473480225,-0.01278323121368885,-0.011004945263266563,-0.5583683848381042,-0.005990032106637955,1772622282.0504756
YES,0.0,0.0,8.261245199037148e-08,0.3734405040740967,0.27045443654060364,-0.018947143107652664,0.5686118602752686,0.5037493109703064,-0.03776479512453079,0.43659666180610657,0.7942488789558411,-0.05457213521003723,0.1498803347349167,0.9886924624443054,-0.07028268277645111,0.49098557233810425,-0.15968415141105652,-0.04661328345537186,0.5864717960357666,0.46419236063957214,-0.0674779862165451,0.4385259747505188,0.771175742149353,-0.07819537073373795,0.2783459722995758,0.832128643989563,-0.08461609482765198,0.17292258143424988,-0.29876962304115295,-0.04841127246618271,0.1501220166683197,0.47403401136398315,-0.06696698069572449,0.0833510011434555,0.7150850296020508,-0.06976241618394852,0.06845377385616302,0.6982247829437256,-0.07309228181838989,-0.11769994348287582,-0.25766465067863464,-0.0509386844933033,-0.10682487487792969,0.5435347557067871,-0.06493537873029709,-0.11060395836830139,0.766269862651825,-0.06029651314020157,-0.08932884782552719,0.7213416695594788,-0.0576523095369339,-0.34189245104789734,-0.11153562366962433,-0.05563793331384659,-0.3039189279079437,0.5241785049438477,-0.06305602937936783,-0.28464919328689575,0.7048384547233582,-0.05831020697951317,-0.2710006535053253,0.6603742241859436,-0.05565178766846657,1772622282.2832975
YES,0.0,0.0,-8.337130452673591e-08,0.26256829500198364,-0.11018754541873932,-0.012855924665927887,0.45762959122657776,-0.4043641686439514,-0.019841644912958145,0.3960931599140167,-0.6914492845535278,-0.026104802265763283,0.20595452189445496,-0.8151865005493164,-0.029492486268281937,0.38904592394828796,-0.6917617917060852,-0.01090406533330679,0.3183746337890625,-0.9479576349258423,-0.027814321219921112,0.2502378225326538,-0.6852493286132812,-0.03573436290025711,0.27398815751075745,-0.5603134632110596,-0.039605751633644104,0.19638222455978394,-0.709322452545166,-0.012960728257894516,0.13733051717281342,-0.9069042205810547,-0.02953387051820755,0.1122387945652008,-0.6160182952880859,-0.03092499077320099,0.1530369222164154,-0.5463793873786926,-0.029299532994627953,0.024098576977849007,-0.6845900416374207,-0.017724893987178802,-0.020279983058571815,-0.8139414191246033,-0.03404471278190613,-0.014178878627717495,-0.5494256615638733,-0.02841201424598694,0.04545651748776436,-0.49574390053749084,-0.021666672080755234,-0.12822221219539642,-0.6325085163116455,-0.02382386475801468,-0.1470998078584671,-0.6855873465538025,-0.030471786856651306,-0.1328108310699463,-0.5027527213096619,-0.023847205564379692,-0.1025027260184288,-0.4551530182361603,-0.017869921401143074,1772622282.554729
YES,0.0,0.0,-8.315271315950667e-08,0.2565077543258667,-0.11942807585000992,-0.011750294826924801,0.4490219056606293,-0.36191415786743164,-0.01808047667145729,0.4133993983268738,-0.5995096564292908,-0.024186022579669952,0.25284871459007263,-0.7200497984886169,-0.028124140575528145,0.3543119728565216,-0.7208643555641174,-0.009021889418363571,0.3515945374965668,-0.9361445903778076,-0.024233445525169373,0.29511576890945435,-0.7074432373046875,-0.03180358186364174,0.28112274408340454,-0.589264988899231,-0.035365041345357895,0.17789079248905182,-0.7312467694282532,-0.01110163051635027,0.1696385145187378,-0.8927783370018005,-0.026170270517468452,0.14039553701877594,-0.6130732297897339,-0.028924666345119476,0.14835958182811737,-0.5424837470054626,-0.028656017035245895,0.010748830623924732,-0.6996499300003052,-0.01553868968039751,0.0004945761174894869,-0.8313952684402466,-0.03109722025692463,0.0036357969511300325,-0.5609748363494873,-0.026698052883148193,0.03219002112746239,-0.4946482181549072,-0.020954759791493416,-0.14893995225429535,-0.6460515260696411,-0.021020228043198586,-0.1464347094297409,-0.7445340752601624,-0.027829060330986977,-0.12748095393180847,-0.5642046928405762,-0.021322932094335556,-0.11347752809524536,-0.5071005821228027,-0.015471323393285275,1772622282.7693152
